file,offset,valid_instructions_count,arch
1.exe,433243,66,32
1.exe,550969,13231,32
1.exe,248413,11242,32
1.exe,125941,21527,32
1.exe,521796,41939,32
1.exe,356810,57,32
1.exe,159583,19755,32
1.exe,387573,30,32
1.exe,340975,12,32
1.exe,342516,32,32
1.exe,416875,1,32
1.exe,410405,127,32
1.exe,54335,1805,32
1.exe,184180,6499,32
1.exe,226152,853,32
1.exe,288768,2,32
1.exe,327108,12,32
1.exe,82067,8483,32
1.exe,117006,30371,32
1.exe,281195,956,32
1.exe,440670,36,32
1.exe,113233,34084,32
1.exe,369633,33,32
1.exe,132198,15331,32
1.exe,197161,1096,32
1.exe,376391,26,32
1.exe,393534,33,32
1.exe,531865,32106,32
1.exe,222511,2190,32
1.exe,373701,25,32
1.exe,520211,43479,32
1.exe,220360,686,32
1.exe,428374,20,32
1.exe,544272,19812,32
1.exe,222882,2049,32
1.exe,14819,4733,32
1.exe,401102,35,32
1.exe,472125,186,32
1.exe,94092,52709,32
1.exe,25264,168,32
1.exe,552508,11726,32
1.exe,444013,5021,32
1.exe,196149,1477,32
1.exe,311768,57,32
1.exe,68491,213,32
1.exe,132783,14753,32
1.exe,74631,2466,32
1.exe,279693,1707,32
1.exe,41174,7172,32
1.exe,214403,1955,32
1.exe,66434,2079,32
1.exe,23187,904,32
1.exe,556457,8101,32
1.exe,426383,57,32
1.exe,207399,4337,32
1.exe,294133,13,32
1.exe,35686,22,32
1.exe,184177,6500,32
1.exe,510968,52474,32
1.exe,115487,31866,32
1.exe,205532,4948,32
1.exe,480677,988,32
1.exe,294592,63,32
1.exe,350809,10,32
1.exe,103240,43819,32
1.exe,219654,143,32
1.exe,420289,22,32
1.exe,549421,14743,32
1.exe,300494,3,32
1.exe,25787,724,32
1.exe,488183,22,32
1.exe,341502,2,32
1.exe,62624,261,32
1.exe,468484,3138,32
1.exe,1210,1263,32
1.exe,456651,177,32
1.exe,206807,4517,32
1.exe,315322,20,32
1.exe,259012,5429,32
1.exe,263859,2096,32
1.exe,227778,304,32
1.exe,444306,4733,32
1.exe,36103,2227,32
1.exe,301844,165,32
1.exe,236815,16454,32
1.exe,26152,584,32
1.exe,401759,9,32
1.exe,120764,26649,32
1.exe,251367,9732,32
1.exe,284786,29,32
1.exe,3494,156,32
1.exe,389254,58,32
1.exe,59848,2529,32
1.exe,395420,77,32
1.exe,249722,10609,32
1.exe,395240,15,32
1.exe,402765,63,32
1.exe,166475,15675,32
1.exe,93567,53222,32
1.exe,450610,756,32
1.exe,226397,768,32
1.exe,463455,1774,32
1.exe,533932,30062,32
1.exe,73422,3586,32
1.exe,373659,16,32
1.exe,197164,1095,32
1.exe,471607,580,32
1.exe,201461,170,32
1.exe,560887,5886,32
1.exe,566030,3315,32
1.exe,327141,3,32
1.exe,449549,1671,32
1.exe,568781,1939,32
1.exe,488260,269,32
1.exe,372436,19,32
1.exe,18060,3325,32
1.exe,1387,1185,32
1.exe,563767,4446,32
1.exe,136155,11461,32
1.exe,304385,123,32
1.exe,287296,2,32
1.exe,163208,17479,32
1.exe,191409,3277,32
1.exe,71110,1221,32
1.exe,359903,29,32
1.exe,175258,10922,32
1.exe,103380,43679,32
1.exe,446583,2490,32
1.exe,291243,371,32
1.exe,209429,3631,32
1.exe,451441,41,32
1.exe,97740,49169,32
1.exe,243220,13701,32
1.exe,415458,3,32
1.exe,74599,2498,32
1.exe,259142,5306,32
1.exe,293192,55,32
1.exe,123251,24184,32
1.exe,305540,12,32
1.exe,527772,36124,32
1.exe,466100,158,32
1.exe,434734,184,32
1.exe,400879,14,32
1.exe,388636,8,32
1.exe,179711,8655,32
1.exe,393350,33,32
1.exe,187450,4990,32
1.exe,293567,28,32
1.exe,345078,111,32
1.exe,438096,300,32
1.exe,525996,37848,32
1.exe,409882,37,32
1.exe,254095,8255,32
1.exe,434623,224,32
1.exe,209481,3638,32
1.exe,537142,26881,32
1.exe,62880,50,32
1.exe,91652,55092,32
1.exe,299441,16,32
1.exe,81250,9292,32
1.exe,452077,2048,32
1.exe,166388,15713,32
1.exe,426960,39,32
1.exe,160332,19180,32
1.exe,112707,34600,32
1.exe,307009,27,32
1.exe,133457,14095,32
1.exe,545854,18253,32
1.exe,156439,587,32
1.exe,380342,6,32
1.exe,300424,36,32
1.exe,129229,18257,32
1.exe,141753,6742,32
1.exe,159457,19855,32
1.exe,564196,4232,32
1.exe,242913,13834,32
1.exe,202279,803,32
1.exe,563888,4386,32
1.exe,113644,33684,32
1.exe,79798,10705,32
1.exe,202297,797,32
1.exe,269222,6942,32
1.exe,16387,4057,32
1.exe,151675,1781,32
1.exe,554786,9483,32
1.exe,534780,29225,32
1.exe,138306,9335,32
1.exe,40750,259,32
1.exe,275714,3696,32
1.exe,456689,139,32
1.exe,329610,22,32
1.exe,532871,31114,32
1.exe,329390,32,32
1.exe,293927,38,32
1.exe,283934,2,32
1.exe,298200,3,32
1.exe,254356,8130,32
1.exe,505545,959,32
1.exe,429798,37,32
1.exe,294819,22,32
1.exe,420191,36,32
1.exe,295793,28,32
1.exe,151379,1929,32
1.exe,439506,152,32
1.exe,386462,35,32
1.exe,110008,37218,32
1.exe,516372,47232,32
1.exe,218809,409,32
1.exe,159795,19602,32
1.exe,322181,11,32
1.exe,58296,786,32
1.exe,443481,70,32
1.exe,102522,44524,32
1.exe,65596,367,32
1.exe,68196,485,32
1.exe,225754,999,32
1.exe,440783,25,32
1.exe,272317,5395,32
1.exe,520481,43219,32
1.exe,256849,6683,32
1.exe,529397,34539,32
1.exe,291616,211,32
1.exe,279056,2025,32
1.exe,482385,1933,32
1.exe,51664,3981,32
1.exe,483684,767,32
1.exe,483880,585,32
1.exe,135788,11820,32
1.exe,420499,24,32
1.exe,695,1501,32
1.exe,314992,13,32
1.exe,378662,57,32
1.exe,552426,11807,32
1.exe,361668,24,32
1.exe,146870,4184,32
1.exe,221282,365,32
1.exe,480072,1500,32
1.exe,440656,41,32
1.exe,396729,43,32
1.exe,213198,2333,32
1.exe,258198,5889,32
1.exe,355947,42,32
1.exe,528302,35606,32
1.exe,122556,24872,32
1.exe,32059,1233,32
1.exe,162348,17918,32
1.exe,222280,49,32
1.exe,506187,327,32
1.exe,432911,46,32
1.exe,355580,191,32
1.exe,285862,28,32
1.exe,271029,6039,32
1.exe,508890,54497,32
1.exe,334978,1,32
1.exe,303186,38,32
1.exe,207967,4144,32
1.exe,277444,2831,32
1.exe,544877,19213,32
1.exe,341892,14,32
1.exe,543862,20221,32
1.exe,469671,2167,32
1.exe,162360,17912,32
1.exe,119168,28233,32
1.exe,546227,17881,32
1.exe,469718,2148,32
1.exe,189520,4055,32
1.exe,386119,11,32
1.exe,335427,23,32
1.exe,415802,16,32
1.exe,556789,7935,32
1.exe,373327,14,32
1.exe,93382,53406,32
1.exe,380430,89,32
1.exe,37961,650,32
1.exe,530045,33896,32
1.exe,235553,16982,32
1.exe,256204,7066,32
1.exe,167349,15161,32
1.exe,250723,10062,32
1.exe,92657,54111,32
1.exe,409021,3,32
1.exe,119275,28130,32
1.exe,135065,12527,32
1.exe,232459,18210,32
1.exe,101337,45677,32
1.exe,519626,44053,32
1.exe,371686,46,32
1.exe,177952,9510,32
1.exe,344009,6,32
1.exe,322621,7,32
1.exe,342009,33,32
1.exe,218903,385,32
1.exe,446995,2084,32
1.exe,105375,41733,32
1.exe,28452,4794,32
1.exe,487153,980,32
1.exe,262350,3236,32
1.exe,260036,4746,32
1.exe,295031,20,32
1.exe,57431,1465,32
1.exe,178324,9316,32
1.exe,463526,1704,32
1.exe,534936,29073,32
1.exe,99491,47480,32
1.exe,13892,4988,32
1.exe,194696,1972,32
1.exe,273949,4579,32
1.exe,509965,53444,32
1.exe,170088,13685,32
1.exe,240955,14746,32
1.exe,150346,2446,32
1.exe,60220,2224,32
1.exe,144495,5371,32
1.exe,474534,435,32
1.exe,281135,986,32
1.exe,6054,1044,32
1.exe,143444,5897,32
1.exe,264040,2022,32
1.exe,13998,4948,32
1.exe,530217,33728,32
1.exe,347681,65,32
1.exe,296056,6,32
1.exe,257568,6285,32
1.exe,453977,481,32
1.exe,301116,20,32
1.exe,548842,15310,32
1.exe,415147,61,32
1.exe,82246,8309,32
1.exe,493766,1236,32
1.exe,419965,40,32
1.exe,123980,23465,32
1.exe,80690,9836,32
1.exe,547468,16664,32
1.exe,22784,1063,32
1.exe,535860,28159,32
1.exe,55079,1188,32
1.exe,92843,53929,32
1.exe,254019,8317,32
1.exe,474969,72,32
1.exe,73845,3195,32
1.exe,370178,4,32
1.exe,484315,182,32
1.exe,320305,1,32
1.exe,509695,53706,32
1.exe,153964,637,32
1.exe,155193,36,32
1.exe,185304,5977,32
1.exe,347673,67,32
1.exe,283762,56,32
1.exe,449168,274,32
1.exe,496119,10196,32
1.exe,182517,7324,32
1.exe,539455,24594,32
1.exe,171085,13147,32
1.exe,277561,2773,32
1.exe,204812,5219,32
1.exe,431700,57,32
1.exe,181890,7610,32
1.exe,390099,8,32
1.exe,140323,7457,32
1.exe,388630,10,32
1.exe,268995,7056,32
